"REF_DATE","GEO","DGUID","Income concept","Economic family type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2014","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","107800","B","","","0"
"2015","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","110800","B","","","0"
"2016","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","111300","A","","","0"
"2017","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","114800","A","","","0"
"2018","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","119200","A","","","0"
"2019","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","117100","B","","","0"
"2020","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","122200","A","","","0"
"2021","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","123200","A","","","0"
"2022","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","121700","A","","","0"
"2023","British Columbia","2021A000259","Median total income","Economic families","2023 constant dollars","449","units","0","v96414812","13.8.2","124400","A","","","0"
"2009","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","37400","C","","","0"
"2010","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","33500","D","","","0"
"2011","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","33900","C","","","0"
"2012","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","34200","C","","","0"
"2013","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","39900","C","","","0"
"2014","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","39500","C","","","0"
"2015","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","30900","C","","","0"
"2016","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","36600","C","","","0"
"2017","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","38500","B","","","0"
"2018","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","39300","B","","","0"
"2019","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","40000","C","","","0"
"2020","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","45900","B","","","0"
"2021","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","47400","B","","","0"
"2022","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","43700","A","","","0"
"2023","British Columbia","2021A000259","Median total income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414824","13.8.14","45200","B","","","0"
"2009","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","5700","C","","","0"
"2010","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","5300","C","","","0"
"2011","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","5700","C","","","0"
"2012","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","5700","C","","","0"
"2013","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","6900","C","","","0"
"2014","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","6800","C","","","0"
"2015","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","6600","C","","","0"
"2016","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","6400","C","","","0"
"2017","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","7600","B","","","0"
"2018","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","7500","B","","","0"
"2019","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","7500","B","","","0"
"2020","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","8400","B","","","0"
"2021","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","9000","B","","","0"
"2022","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","8300","A","","","0"
"2023","British Columbia","2021A000259","Median income tax","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414851","13.10.1","8400","A","","","0"
"2009","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","9500","C","","","0"
"2010","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","9100","C","","","0"
"2011","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","10600","C","","","0"
"2012","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","10200","C","","","0"
"2013","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","11200","C","","","0"
"2014","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","11000","B","","","0"
"2015","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","11900","C","","","0"
"2016","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","11900","C","","","0"
"2017","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","12400","B","","","0"
"2018","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","13300","B","","","0"
"2019","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","13600","B","","","0"
"2020","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","13100","B","","","0"
"2021","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","14000","B","","","0"
"2022","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","14000","A","","","0"
"2023","British Columbia","2021A000259","Median income tax","Economic families","2023 constant dollars","449","units","0","v96414852","13.10.2","14000","A","","","0"
"2009","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","2000","E","","","0"
"2010","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","1300","E","","","0"
"2011","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","","F","","","0"
"2012","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","1700","E","","","0"
"2013","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","2700","E","","","0"
"2014","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","2200","E","","","0"
"2015","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","","F","","","0"
"2016","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","2100","E","","","0"
"2017","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","2700","D","","","0"
"2018","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","2600","D","","","0"
"2019","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","2700","D","","","0"
"2020","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","3700","D","","","0"
"2021","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","4100","D","","","0"
"2022","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","3400","C","","","0"
"2023","British Columbia","2021A000259","Median income tax","Persons not in an economic family","2023 constant dollars","449","units","0","v96414864","13.10.14","3700","C","","","0"
"2009","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","65700","B","","","0"
"2010","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","64900","B","","","0"
"2011","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","63800","A","","","0"
"2012","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","65600","A","","","0"
"2013","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","68300","B","","","0"
"2014","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","67700","A","","","0"
"2015","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","66000","B","","","0"
"2016","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","67300","B","","","0"
"2017","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","72200","A","","","0"
"2018","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","69900","A","","","0"
"2019","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","72300","A","","","0"
"2020","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","77300","A","","","0"
"2021","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","76000","A","","","0"
"2022","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","73300","A","","","0"
"2023","British Columbia","2021A000259","Median after-tax income","Economic families and persons not in an economic family","2023 constant dollars","449","units","0","v96414891","13.12.1","73900","A","","","0"
"2009","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","93500","A","","","0"
"2010","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","92600","B","","","0"
"2011","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","93400","A","","","0"
"2012","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","94200","A","","","0"
"2013","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","95100","A","","","0"
"2014","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","96800","B","","","0"
"2015","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","98800","B","","","0"
"2016","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","99700","B","","","0"
"2017","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","101500","A","","","0"
"2018","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","105800","A","","","0"
"2019","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","103200","A","","","0"
"2020","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","108100","A","","","0"
"2021","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","108600","A","","","0"
"2022","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","106300","A","","","0"
"2023","British Columbia","2021A000259","Median after-tax income","Economic families","2023 constant dollars","449","units","0","v96414892","13.12.2","109200","A","","","0"
"2009","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","35400","C","","","0"
"2010","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","32600","C","","","0"
"2011","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","31000","C","","","0"
"2012","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","32300","C","","","0"
"2013","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","36400","C","","","0"
"2014","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","36400","C","","","0"
"2015","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","29700","B","","","0"
"2016","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","34000","B","","","0"
"2017","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","35100","B","","","0"
"2018","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","36300","B","","","0"
"2019","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","36900","B","","","0"
"2020","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","42000","B","","","0"
"2021","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","43500","B","","","0"
"2022","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","39800","A","","","0"
"2023","British Columbia","2021A000259","Median after-tax income","Persons not in an economic family","2023 constant dollars","449","units","0","v96414904","13.12.14","41000","A","","","0"


